pink-purple,pink purple,pink/purple
pinky-purple,pinky purple
grey-brown,grey brown,gray-brown,gray brown
greyish pink,grayish pink
medium grey,medium gray
lemon lime,lemon-lime
purply pink,purpley pink
purple-pink,purple pink,purple/pink
burnt siena,burnt sienna
turquoise,turqouise,turquise,turquiose,turquois,torquoise,torquise,tourquoise,turqoise
red-violet,red violet
bluish,blueish,blue-ish
purple grey,purple-grey,purple gray,purple-gray
poo,poop
burgandy,burgendy,burgundy
baby poop,baby poo
liliac,lilac
forest green,forrest green
gray-green,grey green,grey-green,gray green,grey/green
greenish gray,greenish grey
greenish-brown,greenish brown
goldenrod,golden rod
seafoam green,sea foam green,sea-foam green
pinkish purple,pinkish-purple
redish purple,reddish purple
light green-blue,light green blue
green blue,green-blue,greeny blue
chartruse,chartruese,chartreuse
purple.,pruple,purple,purple!,puple,purpley,purpl,purplr
blue gray,blue-gray,blue grey,blue-grey,blue/grey
marron,marroon,maroon
yello,yellow
pink,pink!
sea foam,seafoam
yellow-orange,yellow orange
grayish blue,greyish blue
purplish gray,purplish grey
purplish,purpleish,purple-ish
warm grey,warm gray
grayish brown,greyish brown
grey purple,grey-purple,gray purple,gray-purple
redish pink,reddish pink
light lavendar,light lavender
teel,teal?,teal
dark lavendar,dark lavender
yellow/green,yellow green,yellow-green,yellowy green
orangey yellow,orange-yellow,orange yellow
fuchia,fucia,fuscia,fusha,fuchsia,fuschia,fushcia,fushia,fucshia,fuscha,fusia
green-yellow,green yellow,greeny yellow
blueish grey,bluish grey,blueish gray,bluish gray
mossy green,moss green
ocre,ochre
yellow brown,yellowy brown,yellow-brown
brownish grey,brownish gray
red brown,red-brown
purpley blue,purply blue
purple blue,purple/blue,purple-blue
green-brown,green brown
bleu,blue,blue.,blu,blue!,ble,bue
greeen,gree,green!,greem,green,gren,green.
bubblegum pink,bubble gum pink
blue-violet,blue violet
redish brown,reddish brown,reddish-brown
purpleish pink,purplish pink
orange,orang
aquamarine,aqua marine
off white,off-white
blue-green,blue/green,bluegreen,blue green
light blue,light-blue
orange red,orange-red
violet blue,violet-blue
brown-green,brown green
purple red,purple-red
avocado,avacado
light blue grey,light blue-grey
pinkish red,pinkish-red
blue-purple,blue purple,blue/purple
steel grey,steel gray
baige,beige
sky blue,sky-blue
dark yellow green,dark yellow-green
puse,puce,peuce
brown-grey,brown grey
light grey blue,light grey-blue
kelley green,kelly green
mauve,mauve?
lavendar,lavender,lavander
periwinkle,perriwinkle,perrywinkle
slate grey,slate gray
dark turquoise,dark turqoise
light gray,light grey
grey/blue,grey blue,gray-blue,gray blue,grey-blue
dark blue-grey,dark blue grey
brown red,brown-red
purple-brown,purple brown
brown orange,brown-orange
orange-brown,orange brown
red-purple,red purple
green gray,green-gray,green grey,green-grey
poo brown,poop brown
light yellow-green,light yellow green
blueish green,bluish green
redish,reddish
taupe,toupe,tope
magenta,majenta
pink red,pink-red
grayish green,greyish green
sea-green,sea green,seagreen
dark gray,dark grey
reddish orange,redish orange
purple-ish blue,purpleish blue,purplish blue,purplish-blue
light blue green,light blue-green
light urple,light purple
red-orange,red orange
greenish yellow,greenish-yellow
greyish purple,grayish purple
dark blue-green,dark blue green
terracotta,terra cotta
robin egg blue,robins egg blue,robin's egg blue
blue-ish purple,bluish purple,blueish purple,bluish-purple
lime green,lime-green
grey pink,grey-pink
red-pink,red pink
teal-green,teal green
gray,grey
orangey brown,orangy brown
